"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 23:48:05 GMT 2025","Fri Mar 07 23:48:05 GMT 2025","385","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Fri Mar 07 23:48:07 GMT 2025","Fri Mar 07 23:48:08 GMT 2025","1657","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:48:14 GMT 2025","Fri Mar 07 23:48:16 GMT 2025","1290","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 07 23:48:10 GMT 2025","Fri Mar 07 23:48:12 GMT 2025","1279","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:48:12 GMT 2025","Fri Mar 07 23:48:13 GMT 2025","599","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:48:13 GMT 2025","Fri Mar 07 23:48:14 GMT 2025","1861","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:48:04 GMT 2025","Fri Mar 07 23:48:05 GMT 2025","407","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Fri Mar 07 23:48:06 GMT 2025","Fri Mar 07 23:48:07 GMT 2025","389","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:48:06 GMT 2025","Fri Mar 07 23:48:06 GMT 2025","486","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:48:08 GMT 2025","Fri Mar 07 23:48:10 GMT 2025","1321","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
